GapZ,100.00,Ohms,,,,
Source,0.00,dBm,,,,
,1.0E-3,W,,,,
Port1 Z,50.0E+0,Ohms,,,,Gap has 39–3.9KΩ resistors connected in parallel.
Port1 V,223.6E-3,V,,,,Cal input has 1KΩ in series with gap Impedance.
CalZ,983.00,Ohms,,,,Output has 20dB attenuator and 80dB amplifier.
Cal_Iin,227.5E-6,A,,,,
Port2 Z,50.0E+0,,,,,Vcal = CalZ / (CalZ+ CalR)* Ibeam
,,,,,,
# Channel 1,,,,,,
# Trace 1,,,,100.0E-3,,
Frequency,S21 Magnitude (dB),S21Linear Ratio (Vout/Vcal),Vout/Ibeam,Vout,,
14.0E+0,-95.18,17.4E-6,15.8E-6,1.6E-6,,
14.2E+0,-89.65,32.9E-6,29.9E-6,3.0E-6,,
14.4E+0,-94.85,18.1E-6,16.4E-6,1.6E-6,,
14.6E+0,-88.19,39.0E-6,35.4E-6,3.5E-6,,
14.8E+0,-90.99,28.2E-6,25.6E-6,2.6E-6,,
15.0E+0,-88.63,37.0E-6,33.6E-6,3.4E-6,,
15.2E+0,-91.48,26.7E-6,24.2E-6,2.4E-6,,
15.4E+0,-89.57,33.2E-6,30.1E-6,3.0E-6,,
15.6E+0,-95.47,16.8E-6,15.3E-6,1.5E-6,,
15.8E+0,-90.65,29.4E-6,26.6E-6,2.7E-6,,
16.0E+0,-97.64,13.1E-6,11.9E-6,1.2E-6,,
16.2E+0,-109.39,3.4E-6,3.1E-6,307.8E-9,,
16.4E+0,-93.53,21.1E-6,19.1E-6,1.9E-6,,
16.6E+0,-88.36,38.2E-6,34.7E-6,3.5E-6,,
16.8E+0,-94.93,17.9E-6,16.3E-6,1.6E-6,,
17.0E+0,-89.59,33.2E-6,30.1E-6,3.0E-6,,
17.2E+0,-86.66,46.5E-6,42.2E-6,4.2E-6,,
17.4E+0,-96.12,15.6E-6,14.2E-6,1.4E-6,,
17.5E+0,-90.69,29.2E-6,26.5E-6,2.6E-6,,
17.7E+0,-98.38,12.1E-6,10.9E-6,1.1E-6,,
17.9E+0,-94.11,19.7E-6,17.9E-6,1.8E-6,,
18.1E+0,-93.48,21.2E-6,19.2E-6,1.9E-6,,
18.4E+0,-87.31,43.1E-6,39.1E-6,3.9E-6,,
18.6E+0,-89.84,32.2E-6,29.2E-6,2.9E-6,,
18.9E+0,-85.50,53.1E-6,48.2E-6,4.8E-6,,
19.2E+0,-89.25,34.5E-6,31.3E-6,3.1E-6,,
19.5E+0,-98.29,12.2E-6,11.0E-6,1.1E-6,,
19.7E+0,-85.35,54.0E-6,49.0E-6,4.9E-6,,
20.0E+0,-95.18,17.4E-6,15.8E-6,1.6E-6,,
20.3E+0,-87.91,40.2E-6,36.5E-6,3.7E-6,,
20.6E+0,-90.31,30.5E-6,27.7E-6,2.8E-6,,
20.8E+0,-94.17,19.6E-6,17.8E-6,1.8E-6,,
21.1E+0,-85.01,56.2E-6,51.0E-6,5.1E-6,,
21.4E+0,-90.19,30.9E-6,28.1E-6,2.8E-6,,
21.6E+0,-88.93,35.8E-6,32.5E-6,3.2E-6,,
21.9E+0,-88.11,39.3E-6,35.7E-6,3.6E-6,,
22.2E+0,-85.04,56.0E-6,50.8E-6,5.1E-6,,
22.5E+0,-87.37,42.8E-6,38.8E-6,3.9E-6,,
22.7E+0,-94.72,18.4E-6,16.7E-6,1.7E-6,,
23.0E+0,-91.82,25.6E-6,23.3E-6,2.3E-6,,
23.3E+0,-91.64,26.2E-6,23.8E-6,2.4E-6,,
23.6E+0,-88.64,37.0E-6,33.6E-6,3.4E-6,,
23.8E+0,-95.06,17.7E-6,16.0E-6,1.6E-6,,
24.1E+0,-92.19,24.6E-6,22.3E-6,2.2E-6,,
24.4E+0,-85.30,54.3E-6,49.3E-6,4.9E-6,,
24.6E+0,-89.67,32.9E-6,29.8E-6,3.0E-6,,
24.9E+0,-88.04,39.6E-6,36.0E-6,3.6E-6,,
25.2E+0,-89.39,33.9E-6,30.8E-6,3.1E-6,,
25.5E+0,-98.20,12.3E-6,11.2E-6,1.1E-6,,
25.9E+0,-90.48,29.9E-6,27.2E-6,2.7E-6,,
26.3E+0,-100.85,9.1E-6,8.2E-6,822.6E-9,,
26.6E+0,-94.72,18.4E-6,16.7E-6,1.7E-6,,
27.0E+0,-86.77,45.9E-6,41.7E-6,4.2E-6,,
27.4E+0,-96.91,14.3E-6,13.0E-6,1.3E-6,,
27.8E+0,-90.08,31.3E-6,28.4E-6,2.8E-6,,
28.2E+0,-94.20,19.5E-6,17.7E-6,1.8E-6,,
28.5E+0,-87.81,40.7E-6,36.9E-6,3.7E-6,,
28.9E+0,-90.88,28.6E-6,25.9E-6,2.6E-6,,
29.3E+0,-94.90,18.0E-6,16.3E-6,1.6E-6,,
29.7E+0,-89.67,32.8E-6,29.8E-6,3.0E-6,,
30.1E+0,-92.01,25.1E-6,22.8E-6,2.3E-6,,
30.4E+0,-97.41,13.5E-6,12.2E-6,1.2E-6,,
30.8E+0,-95.94,16.0E-6,14.5E-6,1.4E-6,,
31.2E+0,-85.62,52.3E-6,47.5E-6,4.7E-6,,
31.6E+0,-92.65,23.3E-6,21.2E-6,2.1E-6,,
32.0E+0,-96.54,14.9E-6,13.5E-6,1.4E-6,,
32.3E+0,-89.20,34.7E-6,31.5E-6,3.1E-6,,
32.7E+0,-100.59,9.3E-6,8.5E-6,847.7E-9,,
33.1E+0,-97.45,13.4E-6,12.2E-6,1.2E-6,,
33.5E+0,-97.76,12.9E-6,11.7E-6,1.2E-6,,
33.8E+0,-87.06,44.3E-6,40.2E-6,4.0E-6,,
34.2E+0,-93.03,22.3E-6,20.3E-6,2.0E-6,,
34.6E+0,-97.15,13.9E-6,12.6E-6,1.3E-6,,
35.0E+0,-92.54,23.6E-6,21.4E-6,2.1E-6,,
35.4E+0,-90.85,28.7E-6,26.0E-6,2.6E-6,,
36.0E+0,-98.71,11.6E-6,10.5E-6,1.1E-6,,
36.5E+0,-90.06,31.4E-6,28.5E-6,2.9E-6,,
37.0E+0,-95.88,16.1E-6,14.6E-6,1.5E-6,,
37.5E+0,-92.31,24.2E-6,22.0E-6,2.2E-6,,
38.1E+0,-85.13,55.4E-6,50.3E-6,5.0E-6,,
38.6E+0,-109.06,3.5E-6,3.2E-6,319.7E-9,,
39.1E+0,-96.48,15.0E-6,13.6E-6,1.4E-6,,
39.6E+0,-89.34,34.1E-6,31.0E-6,3.1E-6,,
40.2E+0,-90.22,30.8E-6,28.0E-6,2.8E-6,,
40.7E+0,-86.75,45.9E-6,41.7E-6,4.2E-6,,
41.2E+0,-95.35,17.1E-6,15.5E-6,1.6E-6,,
41.7E+0,-98.41,12.0E-6,10.9E-6,1.1E-6,,
42.3E+0,-86.08,49.7E-6,45.1E-6,4.5E-6,,
42.8E+0,-86.60,46.8E-6,42.4E-6,4.2E-6,,
43.3E+0,-92.45,23.9E-6,21.7E-6,2.2E-6,,
43.8E+0,-96.21,15.5E-6,14.0E-6,1.4E-6,,
44.4E+0,-92.21,24.5E-6,22.3E-6,2.2E-6,,
44.9E+0,-84.33,60.7E-6,55.1E-6,5.5E-6,,
45.4E+0,-83.72,65.2E-6,59.1E-6,5.9E-6,,
46.0E+0,-80.64,92.9E-6,84.3E-6,8.4E-6,,
46.5E+0,-84.57,59.1E-6,53.6E-6,5.4E-6,,
47.0E+0,-78.87,113.9E-6,103.4E-6,10.3E-6,,
47.5E+0,-83.60,66.0E-6,59.9E-6,6.0E-6,,
48.1E+0,-80.26,97.1E-6,88.1E-6,8.8E-6,,
48.6E+0,-78.70,116.1E-6,105.4E-6,10.5E-6,,
49.2E+0,-84.97,56.4E-6,51.2E-6,5.1E-6,,
49.9E+0,-78.29,121.7E-6,110.5E-6,11.0E-6,,
50.7E+0,-93.37,21.5E-6,19.5E-6,1.9E-6,,
51.4E+0,-87.62,41.6E-6,37.7E-6,3.8E-6,,
52.1E+0,-80.46,94.8E-6,86.0E-6,8.6E-6,,
52.9E+0,-90.58,29.6E-6,26.8E-6,2.7E-6,,
53.6E+0,-77.32,136.1E-6,123.6E-6,12.4E-6,,
54.3E+0,-75.85,161.3E-6,146.4E-6,14.6E-6,,
55.1E+0,-72.23,244.6E-6,222.0E-6,22.2E-6,,
55.8E+0,-70.73,290.8E-6,264.0E-6,26.4E-6,,
56.5E+0,-69.22,345.9E-6,314.0E-6,31.4E-6,,
57.2E+0,-67.97,399.5E-6,362.6E-6,36.3E-6,,
58.0E+0,-66.37,480.3E-6,436.0E-6,43.6E-6,,
58.7E+0,-65.75,515.6E-6,468.0E-6,46.8E-6,,
59.4E+0,-66.13,493.9E-6,448.3E-6,44.8E-6,,
60.2E+0,-66.16,492.3E-6,446.8E-6,44.7E-6,,
60.9E+0,-66.07,497.4E-6,451.5E-6,45.1E-6,,
61.6E+0,-65.90,507.1E-6,460.2E-6,46.0E-6,,
62.4E+0,-67.43,424.9E-6,385.7E-6,38.6E-6,,
63.1E+0,-69.44,337.4E-6,306.3E-6,30.6E-6,,
63.8E+0,-67.66,414.2E-6,375.9E-6,37.6E-6,,
64.6E+0,-69.72,326.4E-6,296.3E-6,29.6E-6,,
65.3E+0,-72.07,249.1E-6,226.1E-6,22.6E-6,,
66.0E+0,-73.68,206.9E-6,187.8E-6,18.8E-6,,
66.7E+0,-75.14,175.0E-6,158.9E-6,15.9E-6,,
67.5E+0,-79.28,108.7E-6,98.7E-6,9.9E-6,,
68.3E+0,-74.28,193.2E-6,175.4E-6,17.5E-6,,
69.3E+0,-80.72,92.0E-6,83.5E-6,8.4E-6,,
70.4E+0,-89.10,35.1E-6,31.8E-6,3.2E-6,,
71.4E+0,-87.49,42.2E-6,38.3E-6,3.8E-6,,
72.4E+0,-86.49,47.4E-6,43.0E-6,4.3E-6,,
73.4E+0,-85.66,52.1E-6,47.3E-6,4.7E-6,,
74.4E+0,-79.09,111.0E-6,100.7E-6,10.1E-6,,
75.4E+0,-79.11,110.8E-6,100.6E-6,10.1E-6,,
76.4E+0,-80.18,98.0E-6,88.9E-6,8.9E-6,,
